UDI,Product ID,Type,air_temperature,process_temperature,rotational_speed,Torque,tool_wear,machine_failure,tool_wear_failure,heat_dissipation_failure,PWF_power_failure,OSF_overstrain_failure,RNF_random_failure,date
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,12/04/2009
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,13/04/2009
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,14/04/2009
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,15/04/2009
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,16/04/2009
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,17/04/2009
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,18/04/2009
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,19/04/2009
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,20/04/2009
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,21/04/2009
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,22/04/2009
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,23/04/2009
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,24/04/2009
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,25/04/2009
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,26/04/2009
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,27/04/2009
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,28/04/2009
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,29/04/2009
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,30/04/2009
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,01/05/2009
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,02/05/2009
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,03/05/2009
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,04/05/2009
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,05/05/2009
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,06/05/2009
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,07/05/2009
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,08/05/2009
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,09/05/2009
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10/05/2009
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,11/05/2009
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,12/05/2009
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,13/05/2009
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,14/05/2009
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,15/05/2009
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,16/05/2009
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,17/05/2009
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,18/05/2009
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,19/05/2009
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,20/05/2009
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,21/05/2009
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,22/05/2009
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,23/05/2009
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,24/05/2009
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,25/05/2009
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,26/05/2009
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,27/05/2009
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,28/05/2009
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,29/05/2009
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,30/05/2009
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,31/05/2009
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,01/06/2009
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,02/06/2009
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,03/06/2009
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,04/06/2009
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,05/06/2009
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,06/06/2009
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,07/06/2009
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,08/06/2009
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,09/06/2009
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,10/06/2009
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,11/06/2009
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,12/06/2009
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,13/06/2009
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,14/06/2009
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,15/06/2009
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,16/06/2009
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,17/06/2009
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,18/06/2009
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,19/06/2009
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,20/06/2009
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,21/06/2009
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,22/06/2009
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,23/06/2009
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,24/06/2009
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,25/06/2009
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,26/06/2009
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,27/06/2009
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,28/06/2009
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,29/06/2009
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,30/06/2009
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,01/07/2009
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,02/07/2009
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,03/07/2009
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,04/07/2009
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,05/07/2009
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,06/07/2009
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,07/07/2009
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,08/07/2009
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,09/07/2009
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,10/07/2009
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,11/07/2009
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,12/07/2009
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,13/07/2009
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,14/07/2009
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,15/07/2009
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,16/07/2009
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,17/07/2009
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,18/07/2009
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,19/07/2009
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,20/07/2009
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,21/07/2009
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,22/07/2009
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,23/07/2009
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,24/07/2009
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,25/07/2009
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,26/07/2009
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,27/07/2009
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,28/07/2009
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,29/07/2009
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,30/07/2009
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,31/07/2009
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,01/08/2009
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,02/08/2009
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,03/08/2009
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,04/08/2009
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,05/08/2009
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,06/08/2009
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,07/08/2009
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,08/08/2009
199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,09/08/2009
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,10/08/2009
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,11/08/2009
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,12/08/2009
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,13/08/2009
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,14/08/2009
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,15/08/2009
206,M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,16/08/2009
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,17/08/2009
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,18/08/2009
209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,19/08/2009
210,L47389,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,20/08/2009
211,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,21/08/2009
212,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,22/08/2009
213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,23/08/2009
214,L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,24/08/2009
215,M15074,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,25/08/2009
216,L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,26/08/2009
217,L47396,L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,27/08/2009
218,L47397,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,28/08/2009
219,L47398,L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,29/08/2009
220,M15079,M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,30/08/2009
221,L47400,L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,31/08/2009
222,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,01/09/2009
223,L47402,L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,02/09/2009
224,L47403,L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,03/09/2009
225,L47404,L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,04/09/2009
226,L47405,L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,05/09/2009
227,L47406,L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,06/09/2009
228,L47407,L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,07/09/2009
229,M15088,M,298.3,308.5,1629,37.1,170,0,0,0,0,0,0,08/09/2009
230,L47409,L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0,09/09/2009
231,L47410,L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,10/09/2009
232,L47411,L,298.3,308.4,1408,43.1,177,0,0,0,0,0,0,11/09/2009
233,L47412,L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,12/09/2009
234,L47413,L,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,13/09/2009
235,L47414,L,298.2,308.4,1478,42.9,183,0,0,0,0,0,0,14/09/2009
236,M15095,M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,15/09/2009
237,L47416,L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0,16/09/2009
238,M15097,M,298.0,308.1,1552,36.6,190,0,0,0,0,0,0,17/09/2009
239,L47418,L,297.9,308.1,1393,50.3,193,0,0,0,0,0,0,18/09/2009
240,L47419,L,298.0,308.2,1611,30.6,195,0,0,0,0,0,0,19/09/2009
241,M15100,M,298.0,308.1,1339,51.6,197,0,0,0,0,0,0,20/09/2009
242,L47421,L,298.0,308.1,1777,24.3,200,0,0,0,0,0,0,21/09/2009
243,L47422,L,298.0,308.2,1348,58.8,202,1,0,0,0,1,0,22/09/2009
244,L47423,L,298.0,308.2,1442,44.1,204,0,0,0,0,0,0,23/09/2009
245,M15104,M,298.0,308.2,1395,49.1,206,0,0,0,0,0,0,24/09/2009
246,M15105,M,297.9,308.1,1627,31.4,209,0,0,0,0,0,0,25/09/2009
247,L47426,L,297.9,308.1,1585,33.5,212,0,0,0,0,0,0,26/09/2009
248,L47427,L,298.0,308.2,1469,45.5,214,0,0,0,0,0,0,27/09/2009
249,L47428,L,298.0,308.3,1362,56.8,216,1,0,0,0,1,0,28/09/2009
250,L47429,L,298.0,308.3,1405,56.2,218,1,0,0,0,1,0,29/09/2009
251,L47430,L,298.0,308.3,1662,32.7,0,0,0,0,0,0,0,30/09/2009
252,M15111,M,298.0,308.2,1466,42.6,2,0,0,0,0,0,0,01/10/2009
253,L47432,L,298.0,308.2,1620,35.8,5,0,0,0,0,0,0,02/10/2009
254,L47433,L,298.0,308.2,1357,48.2,7,0,0,0,0,0,0,03/10/2009
255,L47434,L,298.0,308.2,1514,37.9,9,0,0,0,0,0,0,04/10/2009
256,L47435,L,298.0,308.2,1489,40.4,11,0,0,0,0,0,0,05/10/2009
257,L47436,L,298.1,308.3,1331,63.0,13,0,0,0,0,0,0,06/10/2009
258,L47437,L,298.0,308.0,1615,29.5,15,0,0,0,0,0,0,07/10/2009
259,L47438,L,298.1,308.2,1482,37.9,17,0,0,0,0,0,0,08/10/2009
260,M15119,M,298.1,308.2,1420,63.9,19,1,0,0,1,0,0,09/10/2009
261,M15120,M,298.2,308.3,1522,49.1,22,0,0,0,0,0,0,10/10/2009
262,L47441,L,298.1,308.2,1654,32.1,25,0,0,0,0,0,0,11/10/2009
263,M15122,M,298.1,308.2,1736,26.8,27,0,0,0,0,0,0,12/10/2009
264,M15123,M,298.0,308.1,1587,32.3,30,0,0,0,0,0,0,13/10/2009
265,L47444,L,298.1,308.2,1390,47.5,33,0,0,0,0,0,0,14/10/2009
266,L47445,L,298.0,308.1,1454,37.1,35,0,0,0,0,0,0,15/10/2009
267,H29680,H,298.0,308.1,1440,43.7,37,0,0,0,0,0,0,16/10/2009
268,L47447,L,297.9,308.0,1954,21.1,42,0,0,0,0,0,0,17/10/2009
269,H29682,H,297.9,308.0,1800,24.8,44,0,0,0,0,0,0,18/10/2009
270,L47449,L,298.0,308.0,1524,37.0,49,0,0,0,0,0,0,19/10/2009
271,H29684,H,298.0,308.0,1520,39.6,51,0,0,0,0,0,0,20/10/2009
272,M15131,M,298.1,308.1,1452,40.8,56,0,0,0,0,0,0,21/10/2009
273,L47452,L,298.1,308.1,1484,40.4,59,0,0,0,0,0,0,22/10/2009
274,L47453,L,298.1,308.0,1426,46.0,61,0,0,0,0,0,0,23/10/2009
275,L47454,L,298.1,308.0,1652,28.5,63,0,0,0,0,0,0,24/10/2009
276,L47455,L,298.0,308.0,1401,54.7,65,0,0,0,0,0,0,25/10/2009
277,M15136,M,298.0,307.9,1750,26.6,67,0,0,0,0,0,0,26/10/2009
278,H29691,H,298.0,308.0,1479,50.7,70,0,0,0,0,0,0,27/10/2009
279,M15138,M,298.0,308.0,1620,29.4,75,0,0,0,0,0,0,28/10/2009
280,L47459,L,298.0,308.1,1819,23.4,78,0,0,0,0,0,0,29/10/2009
281,M15140,M,298.1,308.1,1456,43.7,80,0,0,0,0,0,0,30/10/2009
282,L47461,L,298.1,308.0,1626,36.5,83,0,0,0,0,0,0,31/10/2009
283,M15142,M,298.1,308.1,1390,49.8,85,0,0,0,0,0,0,01/11/2009
284,L47463,L,298.2,308.2,1469,43.0,88,0,0,0,0,0,0,02/11/2009
285,L47464,L,298.2,308.3,2051,19.2,90,0,0,0,0,0,0,03/11/2009
286,L47465,L,298.2,308.3,1568,36.0,92,0,0,0,0,0,0,04/11/2009
287,L47466,L,298.2,308.3,1589,33.2,94,0,0,0,0,0,0,05/11/2009
288,L47467,L,298.2,308.3,1805,31.6,96,0,0,0,0,0,0,06/11/2009
289,H29702,H,298.2,308.4,1385,42.2,98,0,0,0,0,0,0,07/11/2009
290,L47469,L,298.1,308.4,1436,46.7,103,0,0,0,0,0,0,08/11/2009
291,L47470,L,298.1,308.4,1438,45.6,105,0,0,0,0,0,0,09/11/2009
292,L47471,L,298.0,308.3,1473,42.6,107,0,0,0,0,0,0,10/11/2009
293,L47472,L,298.1,308.4,1335,40.2,109,0,0,0,0,0,0,11/11/2009
294,H29707,H,298.1,308.5,1392,44.8,111,0,0,0,0,0,0,12/11/2009
295,M15154,M,298.1,308.5,1372,51.1,116,0,0,0,0,0,0,13/11/2009
296,M15155,M,298.1,308.6,1716,30.7,119,0,0,0,0,0,0,14/11/2009
297,L47476,L,298.0,308.5,1395,46.2,122,0,0,0,0,0,0,15/11/2009
298,L47477,L,298.0,308.5,1713,25.3,124,0,0,0,0,0,0,16/11/2009
299,H29712,H,297.9,308.5,2129,18.7,126,0,0,0,0,0,0,17/11/2009
300,M15159,M,297.8,308.3,1567,35.6,131,0,0,0,0,0,0,18/11/2009
301,L47480,L,297.8,308.4,1622,38.3,134,0,0,0,0,0,0,19/11/2009
302,L47481,L,297.7,308.4,1740,27.1,136,0,0,0,0,0,0,20/11/2009
303,H29716,H,297.8,308.4,1512,35.1,138,0,0,0,0,0,0,21/11/2009
304,M15163,M,297.8,308.4,1479,43.5,143,0,0,0,0,0,0,22/11/2009
305,L47484,L,297.8,308.4,1737,27.5,146,0,0,0,0,0,0,23/11/2009
306,L47485,L,297.8,308.4,2129,19.2,148,0,0,0,0,0,0,24/11/2009
307,L47486,L,297.8,308.4,1374,47.1,150,0,0,0,0,0,0,25/11/2009
308,M15167,M,297.8,308.4,1579,36.6,152,0,0,0,0,0,0,26/11/2009
309,L47488,L,297.9,308.5,1305,47.2,155,0,0,0,0,0,0,27/11/2009
310,M15169,M,297.9,308.5,1449,40.8,157,0,0,0,0,0,0,28/11/2009
311,H29724,H,298.0,308.6,1526,41.8,160,0,0,0,0,0,0,29/11/2009
312,M15171,M,298.0,308.6,1453,44.1,165,0,0,0,0,0,0,30/11/2009
313,L47492,L,297.9,308.6,1468,36.0,168,0,0,0,0,0,0,01/12/2009
